N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
2,32,100,True,converged,0.0030221939086914062,0.0,1.2257699962097008,4.028346371810734,0.0,True,converged,9.4832998001948e-05,0.0,0.0,1.225892548693929,1.2256498754148786,4.028346527344668,4.9318617657753005e-05,9.24286192676076e-05,True,1.0,1.0
2,33,100,True,converged,0.012852191925048828,2.0,0.9158120796961242,0.5,0.0,True,converged,0.0006552499980898574,1.0,1.0,0.9159058995388261,0.9157222487837684,0.5000173014991796,0.0009680062258044444,0.0015828080481292176,True,1.0,1.0
2,34,100,True,converged,0.0029871463775634766,0.0,0.3948816758321569,1.4861983845865732,0.0,True,converged,6.69169967295602e-05,0.0,0.0,0.3949211561021088,0.3948429789306922,1.4862019232371182,2.7992384345667684e-05,5.461807356988208e-05,True,0.0,0.0
2,35,100,True,converged,0.002961874008178711,0.0,0.4939880939311231,0.6259647467443157,0.0,True,converged,8.854200132191181e-05,0.0,0.0,0.49403748286075727,0.4939396849778455,0.6259638860904004,3.130867171380104e-05,4.7923433911473757e-05,True,1.0,1.0
2,36,100,True,converged,0.003245115280151367,0.0,0.15208473856708554,4.025386278002293,0.0,True,converged,8.704200445208699e-05,0.0,0.0,0.15209994399924837,0.15206983484148165,4.02538641870715,1.737197596291613e-05,2.9052020829358104e-05,True,1.0,1.0
2,37,100,True,converged,0.0031681060791015625,0.0,0.560638361990161,4.875807622908113,0.0,True,converged,8.129100024234504e-05,0.0,0.0,0.5606944146135967,0.5605834215642593,4.875808341057741,3.335399102992275e-05,6.19232077777745e-05,True,1.0,1.0
2,38,100,True,converged,0.0030400753021240234,0.0,0.7753996043106293,5.37551758896432,0.0,True,converged,0.00010541600204305723,0.0,0.0,0.7754771287630728,0.7753236181002778,5.375517286182542,3.922556334559238e-05,5.804566498367533e-05,True,0.0,0.0
2,39,100,True,converged,0.003036022186279297,0.0,0.2989173182811232,2.3081789928890193,0.0,True,converged,9.054200199898332e-05,0.0,0.0,0.29894720403460656,0.2988880255214952,2.308179021338174,2.43546526892653e-05,4.5419940233472467e-05,True,1.0,1.0
2,40,100,True,converged,0.0030248165130615234,0.0,0.32545001685825076,1.9395401743471432,0.0,True,converged,0.00010112499876413494,0.0,0.0,0.325482555350938,0.3254181239951353,1.939540262803421,2.541256784921282e-05,4.752552615708697e-05,True,1.0,1.0
2,41,100,True,converged,0.002980947494506836,0.0,0.44407280538379823,1.006866559735547,0.0,True,converged,9.695799963083118e-05,0.0,0.0,0.4441172037828829,0.4440292879388397,1.006866610800453,2.96847565181124e-05,4.934124463913257e-05,True,0.0,0.0
2,42,100,True,converged,0.0031533241271972656,0.0,0.9249341529718361,3.2449011700742836,0.0,True,converged,0.0001265419996343553,0.0,0.0,0.9250266278884556,0.9248435129447865,3.2449012160108124,4.2841218039026225e-05,7.01805342584022e-05,True,0.0,0.0
2,43,100,True,converged,0.007779121398925781,0.0,0.7845870011675412,1.4933400148828353,0.0,True,converged,0.00011008299770765007,0.0,0.0,0.7846654441759225,0.7845101146272614,1.493341904810804,3.945726296999041e-05,5.8698001755646395e-05,True,1.0,1.0
2,44,100,True,converged,0.0033431053161621094,0.0,0.7314126820813265,1.0391206146754006,0.0,True,converged,0.00017424999532522634,0.0,0.0,0.7314858087212857,0.7313410064219565,1.0391206146754006,3.809672519212205e-05,5.324074982398586e-05,True,0.0,0.0
2,45,100,True,converged,0.0035529136657714844,0.0,0.6656793868626588,0.6497361268042257,0.0,True,converged,0.00012729199806926772,0.0,0.0,0.6657459414877617,0.6656141528160651,0.6497368454714465,3.634452158629589e-05,6.80827084821298e-05,True,1.0,1.0
