N,seed,K,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,scp_min_dist_continuous,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
16,1,15,True,converged,0.0672497499908786,3,1,1.3055815012108385,1.2940736492773552,0.5031274753340267,True,converged,0.0584328174591064,2,1.2996311609129372,0.500000000000001,0.0,0.3173358446979614,0.02369435833419,0.1106961125243497,True,64,64
16,1,25,True,converged,0.0760409169888589,3,1,1.2982138614471563,1.2940736492773552,0.5031274753340267,True,converged,0.1702029705047607,2,1.295926631317876,0.4999999999999992,0.0,0.3119104120287764,0.0233764710596209,0.1113023815829214,True,64,64
16,1,35,True,converged,0.0672497499908786,3,1,1.2961844834533396,1.2940736492773552,0.5031274753340267,True,converged,0.456650972366333,2,1.2949092915237788,0.5003063664813342,0.0,0.3173358446979186,0.0229744272205102,0.1115558488384988,True,64,64
16,1,50,True,converged,0.0760409169888589,3,1,1.295106800487803,1.2940736492773552,0.5031274753340267,True,converged,1.6515507698059082,3,1.2945415670709677,0.500001487753604,0.0,0.4830345732170006,0.0075932546223532,0.0305327503062241,True,64,64
16,1,75,True,converged,0.0760409169888589,3,1,1.2945312034720506,1.2940736492773552,0.5031274753340267,True,converged,2.7602930068969727,2,1.2941961060964589,0.5000018133856772,0.0,0.4310334349651686,0.011933382950949,0.0573168134118958,True,64,64
16,1,100,True,converged,0.0760409169888589,3,1,1.2943299231900087,1.2940736492773552,0.5012665364657763,True,converged,4.431274890899658,2,1.294163490891818,0.5000016438367509,0.0,0.4841160782041306,0.0057906596056967,0.0283455923249149,True,64,64
16,1,150,True,converged,0.0760409169888589,3,1,1.2941861547070062,1.2940736492773552,0.5000266580378725,True,converged,7.26564884185791,2,1.2941039398766685,0.5000088512852148,0.0,0.4858450659498847,0.0044033416111985,0.0232415958008677,True,64,64
16,1,200,True,converged,0.07422866701381281,3,1,1.2941357775620341,1.2940736492773552,0.5001018846754078,True,converged,12.78865098953247,2,1.2940840052602594,0.5000249105015617,0.0,0.4905281554645045,0.0019247381834143215,0.009471853074701058,True,64,64
16,2,10,True,converged,0.3312172500009183,6,1,1.4336918110032215,1.4051572244673567,0.5088468244082482,True,converged,0.0338101387023925,2,1.4162698117154795,0.4999999999999991,0.0,0.04048196030753,0.0837278161098698,0.3201398284122488,False,68,68
16,2,15,True,converged,0.3258764999918639,6,1,1.4178033457563075,1.4051572244673567,0.5088468244082495,True,converged,0.0805108547210693,2,1.4083580363165848,0.499999999999999,0.0,0.0356834936995581,0.0831158332015907,0.3185747736060603,False,68,68
16,2,25,True,converged,0.3312172500009183,6,1,1.4096885853278958,1.4051572244673567,0.5088468244082495,True,converged,0.217052936553955,2,1.4047279644092283,0.4999999999999989,0.0,0.2307601585011393,0.0653225231769011,0.2132143184991248,True,69,69
16,2,35,True,converged,0.3258764999918639,6,1,1.407461892039583,1.4051572244673567,0.5034739970940509,True,converged,0.9035420417785645,3,1.403845008281105,0.5000000606968376,0.0,0.1702354691757091,0.0588688560445446,0.2248024706339587,True,69,69
16,2,50,True,converged,0.3312172500009183,6,1,1.4062841829692876,1.4051572244673567,0.5088468244082495,True,converged,2.5087008476257324,3,1.404112904491475,0.5000000000000001,0.0,0.3476213762467114,0.0380017069390951,0.1503220356341534,True,69,69
16,2,75,True,converged,0.3312172500009183,6,1,1.405659754178043,1.4051572244673567,0.5002827802519139,True,converged,8.338669061660767,6,1.4050117042490915,0.5,0.0,0.4281861212898887,0.0316048655747975,0.1480321943769716,True,69,69
16,2,100,True,converged,0.3312172500009183,6,1,1.4054368684585163,1.4051572244673567,0.5001486333668705,True,converged,10.762531757354736,5,1.4048556500623937,0.4999999999999993,0.0,0.4437751434550123,0.0159056464052734,0.0497295323413036,True,69,69
16,2,150,True,converged,0.3312172500009183,6,1,1.4052805452631565,1.4051572244673567,0.5002827802519139,True,converged,23.18293809890747,6,1.4051136326521585,0.5,0.0,0.4831450498798818,0.016655315125465,0.0691685289073046,True,69,69
16,2,200,True,converged,0.3327585000079125,6,1,1.4052254391712757,1.4051572244673567,0.5000000101372565,True,converged,46.76647591590881,7,1.4051024144645552,0.4999736272147576,0.0,0.49066224621218796,0.006211918509689588,0.028261840888359285,True,69,69
16,3,10,True,converged,0.0704346659767907,3,1,2.030615416692108,1.990754575677844,0.5741531114055406,True,converged,0.0320680141448974,2,2.00970628825576,0.4999999999999997,0.0,0.2471323609930386,0.0547271968449089,0.2405958811225603,False,60,60
16,3,15,True,converged,0.0660274589899927,3,1,2.0084754303861687,1.990754575677844,0.5741531114055433,True,converged,0.1007590293884277,3,1.9985933238423528,0.5000977616924486,0.0,0.211678329758906,0.0497125560964329,0.2536953049306563,True,60,60
16,3,25,True,converged,0.0704346659767907,3,1,1.9971251012715523,1.990754575677844,0.5105951322874528,True,converged,0.1932160854339599,2,1.992778828691605,0.500002229950266,0.0,0.2480600183878032,0.0534118722097167,0.2460513371652726,True,60,60
16,3,35,True,converged,0.0660274589899927,3,1,1.99400362076375,1.990754575677844,0.5337141534343327,True,converged,0.577225923538208,3,1.9912768139425752,0.5000050880618514,0.0,0.1864532955279441,0.0542200855804543,0.2633922709369343,True,61,61
16,3,50,True,converged,0.0704346659767907,3,1,1.99234448633313,1.990754575677844,0.5024981403342927,True,converged,2.372697114944458,4,1.99068351457161,0.5000000048495018,0.0,0.2671745084372745,0.0367229538876318,0.1769286098403255,True,61,61
16,3,75,True,converged,0.0704346659767907,3,1,1.9914582919612855,1.990754575677844,0.5105951322874528,True,converged,2.504204034805298,3,1.9902705731805828,0.5000000000105106,0.0,0.3424430255417414,0.025706388444649,0.1291048483068234,True,61,61
16,3,100,True,converged,0.0704346659767907,3,1,1.9911490017477604,1.990754575677844,0.5015412235342462,True,converged,5.77846097946167,3,1.9907432742386495,0.5000245430869749,0.0,0.4536758368148096,0.0121660522206362,0.0658189181082992,True,61,61
