r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.07995559255833237,-2.398667776749971,solved,0.06189018747739172,200,0.18505283828855412,-1,0.9998449347428483,1.0,True,1,0.40,0.19,5.7235328605236e-05,solved,,L2_00016
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.09328152465138777,-2.7984457395416333,solved,0.04314478466834465,200,0.20025180163200101,-1,0.999787405163111,1.0,True,1,0.40,0.15,2.413046063406976e-05,solved,,L2_00017
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.10660745674444315,-3.1982237023332942,solved,0.024722598885886904,200,0.21643295317129857,-1,0.9997230384665879,1.0,True,1,0.38,0.12,1.4391823664856011e-05,solved,,L2_00018
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.11993338883749854,-3.5980016651249564,solved,0.006566558377298554,200,0.2335816453074212,-1,0.9996663710269927,1.0,True,1,0.36,0.10,3.531327913108839e-05,solved,,L2_00019
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.13325932093055393,-3.997779627916618,solved,0.011341070404055298,200,0.2403980712060526,0,0.9997409057441211,1.0,True,1,0.38,0.13,4.018746547373997e-05,solved,,L2_00020
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.13325932093055393,3.997779627916618,solved,0.363999698801326,200,0.08597362506400288,-1,0.9996275494901791,1.0,True,1,0.53,0.27,6.49950488992238e-06,solved,,L2_00021
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.11993338883749853,3.598001665124956,solved,0.34407851325242056,200,0.08360091680066428,-1,0.9994821789429278,1.0,True,1,0.51,0.22,2.1151488917015016e-06,solved,,L2_00022
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.10660745674444315,3.1982237023332942,solved,0.3239700458460669,200,0.082371749954949,-1,0.9996519525625762,1.0,True,1,0.50,0.24,1.5733156904507162e-06,solved,,L2_00023
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.09328152465138774,2.7984457395416324,solved,0.30379393993921194,200,0.08229167051470804,-1,0.9996910747938434,1.0,True,1,0.51,0.23,2.7873753277729563e-06,solved,,L2_00024
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.07995559255833236,2.3986677767499707,solved,0.28350821460218284,200,0.083371455106315,-1,0.9997056464252427,1.0,True,1,0.50,0.26,1.4283874985476785e-05,solved,,L2_00025
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.06662966046527696,1.998889813958309,solved,0.2632063773468949,200,0.08561269494552015,-1,0.9996594988343777,1.0,True,1,0.49,0.19,0.00018345504404534955,solved,,L2_00026
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.05330372837222156,1.5991118511666467,solved,0.24284742187949365,200,0.0890064433619878,-1,0.9995626060503441,1.0,True,1,0.50,0.18,2.266024999864058e-06,solved,,L2_00027
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.03997779627916617,1.1993338883749851,solved,0.2224780718368919,200,0.09356755199992134,-1,0.9995888809139098,1.0,True,1,0.49,0.19,8.877148073682672e-06,solved,,L2_00028
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.02665186418611078,0.7995559255833233,solved,0.2021481775044716,200,0.09926617964072013,-1,0.9995214932558493,1.0,True,1,0.47,0.16,2.269373258700913e-06,solved,,L2_00029
1.5,0.0,-1.5,0.05,-0.0,-3.6,0.01332593209305539,0.39977796279166167,solved,0.18180374371359628,200,0.10610913128181346,-1,0.9995732831935658,1.0,True,1,0.46,0.17,4.284763832684835e-06,solved,,L2_00030
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.0,-0.0,solved,0.16159662202437347,200,0.11407518011710917,-1,0.9996451243323359,1.0,True,1,0.46,0.16,0.0004670903624374976,solved,,L2_00031
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.013325932093055404,-0.3997779627916621,solved,0.14154903389781437,200,0.123148085138508,-1,0.9997468286262086,1.0,True,1,0.45,0.19,2.8015293990657497e-05,solved,,L2_00032
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.026651864186110808,-0.7995559255833242,solved,0.12165596632191764,200,0.13328276079662862,-1,0.9996279336988082,1.0,True,1,0.43,0.14,1.6360677819734354e-05,solved,,L2_00033
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.039977796279166186,-1.1993338883749856,solved,0.10192265888412616,200,0.14451619653715703,-1,0.9997596684563732,1.0,True,1,0.42,0.17,3.0275915811034393e-05,solved,,L2_00034
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.05330372837222159,-1.5991118511666476,solved,0.08245262466996406,200,0.1567633681183052,-1,0.999612572047004,1.0,True,1,0.41,0.12,8.22888652241005e-06,solved,,L2_00035
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.06662966046527696,-1.998889813958309,solved,0.06316946347074012,200,0.17010070919184833,-1,0.9998420761512485,1.0,True,1,0.39,0.16,3.28315726318691e-05,solved,,L2_00036
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.07995559255833237,-2.398667776749971,solved,0.04420555669435755,200,0.18442872018725942,-1,0.9998877507106207,1.0,True,1,0.37,0.16,2.9882485745865578e-05,solved,,L2_00037
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.09328152465138777,-2.7984457395416333,solved,0.025519538787283885,200,0.19974839151186027,-1,0.9998706872373505,1.0,True,1,0.35,0.13,0.0002386254251953319,solved,,L2_00038
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.10660745674444315,-3.1982237023332942,solved,0.007114900575468042,200,0.21604878323086124,-1,0.9998157744798644,1.0,True,arc,0.33,0.10,6.553475576268773e-05,solved,,L2_00039
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.11993338883749854,-3.5980016651249564,solved,0.011022997513484956,200,0.22230328960870976,0,0.9996648742768031,1.0,True,1,0.36,0.10,1.5838875164320143e-05,solved,,L2_00040
1.5,0.0,-1.5,0.05,-0.0,-3.6,-0.13325932093055393,-3.997779627916618,solved,0.028871212872992102,200,0.22270928496929798,0,0.9997697356666052,1.0,True,1,0.40,0.14,0.0003779517640261133,solved,,L2_00041
1.5,0.0,-1.5,0.05,-0.0,-3.2,0.13325932093055393,3.997779627916618,solved,0.3437323877597396,200,0.08459916031314293,-1,0.9995945826825661,1.0,True,1,0.50,0.26,1.6900563812121598e-05,solved,,L2_00042
1.5,0.0,-1.5,0.05,-0.0,-3.2,0.11993338883749853,3.598001665124956,solved,0.3239351787687227,200,0.08237238363739897,-1,0.9996523106504571,1.0,True,1,0.50,0.23,3.633391553940723e-06,solved,,L2_00043
1.5,0.0,-1.5,0.05,-0.0,-3.2,0.10660745674444315,3.1982237023332942,solved,0.30404403471143815,200,0.0812732135812555,-1,0.9995579816131198,1.0,True,1,0.51,0.23,1.5495254467312591e-06,solved,,L2_00044
1.5,0.0,-1.5,0.05,-0.0,-3.2,0.09328152465138774,2.7984457395416324,solved,0.28404072365829075,200,0.08133479843455843,-1,0.999759156612958,1.0,True,1,0.51,0.27,4.4112757080494447e-07,solved,,L2_00045
1.5,0.0,-1.5,0.05,-0.0,-3.2,0.07995559255833236,2.3986677767499707,solved,0.263890860124516,200,0.08254511416867216,-1,0.9998209271249312,1.0,True,1,0.52,0.30,3.509381035105008e-06,solved,,L2_00046
