dA,dB,K,regime,cost_solve,cost_nd,min_distance,strict,eps_scale,dua_res,width_slopes,width_labels,dual_shares,time_s,fail,t_lo,t_hi,width,interior_gap,n_components,dm_t_lo,dm_t_hi,dm_n_nodes,dm_mass,dm_edge_left,dm_edge_right,dm_interior,dm_interior_max_node,dm_max_share
1.24,1.24,200,arc,0.1369853906596906,136.98539065969058,0.9998764621747375,True,1.0,2.13506588692125e-06,0.17,ambiguous,0.09;0.14;0.09,0.06308197975158691,,0.34,0.65,0.31,0.0012047292634358442,1,0.535,0.635,21,3.398471593826688,0.038825504008617076,0.5533975911852989,2.806248498632772,0.31913769119872315,0.09390624061076033
1.24,1.24,1000,arc,0.1369873732401654,136.98737324016543,0.9999621210996866,True,1.0,2.0586783676532856e-05,0.17,ambiguous,0.03;0.02;0.03,0.9648971557617188,,0.342,0.656,0.314,0.0014175911479266112,1,0.366,0.443,78,16.212986103723072,0.33877195401615146,0.0028611992669453,15.871352950439976,0.4682308872525631,0.02887999066039049
1.24,1.24,4000,arc,0.1345410163795473,134.5410163795473,1.0000000133844797,True,1.0,1.1807156130384762e-08,0.16,ambiguous,0.10,22.72390389442444,,0.34125,0.658,0.31675000000000003,0.0014914460956054754,1,0.3715,0.628,1027,134.7353357498886,17.648335588581528,17.438719110385648,99.64828105092143,0.5106388131404964,0.09915878263918577
1.2,1.2,200,arc,0.13614799379568332,136.1479937956833,0.9999719412973643,True,1.0,3.462925832892183e-07,0.16,ambiguous,0.15;0.05;0.15,0.0751650333404541,,0.325,0.67,0.34500000000000003,0.00149672076512819,1,0.58,0.64,13,3.216771491925229,0.0782352491985423,1.1395127553905333,1.9990234873361536,0.48165685637469974,0.1515551565990599
1.2,1.2,1000,arc,0.13613186246184175,136.13186246184176,0.9999566775123538,True,1.0,2.4839466717940795e-06,0.16,ambiguous,0.01,0.9466958045959473,,0.324,0.674,0.35000000000000003,0.0014885419228141128,1,0.348,0.65,303,35.880729484693205,0.2679351054861401,0.24037675875541717,35.37241762045165,0.43023936608518004,0.011990819926577053
1.2,1.2,4000,arc,0.13364492825003452,133.64492825003452,1.0000000274554635,True,1.0,1.2093049006376754e-08,0.16,ambiguous,0.07,19.811579942703247,,0.324,0.67525,0.35125,0.0014903136909334425,1,0.35275,0.6465,1176,141.7840668134665,12.778017062297398,13.074554392868821,115.93149535830027,0.4748077714676319,0.0696623294505948
1.15,1.15,200,arc,0.13576073298583707,135.76073298583708,0.9998284411567053,True,1.0,4.3889001843714445e-06,0.15,ambiguous,0.04,0.05031991004943848,,0.295,0.695,0.39999999999999997,0.0013867554854329889,1,0.31,0.68,75,7.753732881840007,0.3947587683841779,0.39979252425438455,6.959181589201444,0.2749168028623912,0.035456058011267444
1.15,1.15,1000,arc,0.1357684545244655,135.7684545244655,0.9999611832178901,True,1.0,3.4002150593182012e-06,0.15,ambiguous,0.01,0.8610212802886963,,0.299,0.699,0.39999999999999997,0.0014519879030083782,1,0.324,0.674,351,38.739429283800774,0.2774870478151259,0.2513440516475288,38.21059818433812,0.41531766317961777,0.010720799734478443
1.15,1.15,4000,arc,0.1332005357506172,133.20053575061718,1.000000029892563,True,1.0,1.2589580344572959e-08,0.15,ambiguous,0.10,20.961446046829224,,0.29875,0.70075,0.40199999999999997,0.001485236267109169,1,0.332,0.66725,1342,152.82642407059234,18.43939385326592,18.71810735532027,115.66892286200614,0.42806922901284816,0.09623232009229335
1.1,1.1,200,arc,0.13643073938327643,136.43073938327643,0.999872863938224,True,1.0,5.905248422533038e-06,0.16,ambiguous,0.03,0.05090212821960449,,0.265,0.725,0.45999999999999996,0.0012256414323930098,1,0.28,0.71,87,8.541992917400929,0.3160775666098964,0.32076403873147014,7.905151312059562,0.2880590615070811,0.03372269964310961
1.1,1.1,1000,arc,0.13643339823148165,136.43339823148165,0.9999733612638695,True,1.0,1.1423671595345297e-06,0.16,ambiguous,0.01,0.7127108573913574,,0.267,0.731,0.46399999999999997,0.0014277983007433548,1,0.295,0.703,409,42.67497190748714,0.23556595579082146,0.2104622828622005,42.22894366883412,0.42752014962882284,0.01001805345193013
1.1,1.1,4000,arc,0.13373049853936575,133.73049853936575,1.0000000245559872,True,1.0,1.3119092770190095e-08,0.16,ambiguous,0.04,15.159546136856079,,0.26625,0.73325,0.46699999999999997,0.0014869383910751655,1,0.29675,0.70275,1625,168.24278986889695,8.591960357668592,8.4378509030489,151.21297860817944,0.39584250860659526,0.039036767430854845
1.05,1.05,200,arc,0.13861335801127397,138.613358011274,0.9999754585824553,True,1.0,6.310963024391825e-07,0.15,ambiguous,0.04,0.06345105171203613,,0.22,0.77,0.55,0.0011373986625258237,1,0.25,0.74,99,9.745808869836335,0.7269080648023063,0.7323484229522644,8.286552382081764,0.3682623557087057,0.037786741011153244
1.05,1.05,1000,arc,0.138598874928893,138.598874928893,0.9999726589556841,True,1.0,5.278047865320651e-06,0.15,arc,0.01,0.545142650604248,,0.22,0.778,0.558,0.0014345984984733828,1,0.25,0.748,499,48.73085402415726,0.22394025921938,0.20937292493974244,48.297540839998135,0.342074442322465,0.0070196685277235035
1.05,1.05,4000,arc,0.13566977614601633,135.66977614601632,1.0000000152833228,True,1.0,1.383694422360543e-08,0.15,arc,0.03,14.282197952270508,,0.21925,0.78025,0.5609999999999999,0.001490233047157563,1,0.25375,0.7455,1968,191.46221151129117,6.723632462850409,6.965486242947998,177.77309280549275,0.36086103668218256,0.026666549624786224
