N,seed,K,prio_scp_success,prio_scp_reason,prio_scp_time,prio_scp_iterations_total,prio_scp_iterations_per_rank,prio_scp_time_per_rank,prio_scp_rank_reasons,prio_scp_cost,prio_scp_min_dist,prio_sci_success,prio_sci_reason,prio_sci_time,prio_sci_contacts,prio_sci_contacts_per_rank,prio_sci_time_per_rank,prio_sci_cost,prio_sci_cost_continuous,prio_sci_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_prio_scp,n_crossings_prio_sci
8,35,200,True,converged,1.7430205420823768,9,"[0, 3, 1, 1, 1, 1, 1, 1]","[0.018402375048026443, 1.0846603329991922, 0.06395366694778204, 0.07835520803928375, 0.09445358405355364, 0.10926649998873472, 0.12511091702617705, 0.15566558297723532]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.2555048613179427,0.4995283968490227,True,converged,0.06258699996396899,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.6916892491281033e-05, 0.0006417080294340849, 0.00017920800019055605, 0.0002170829102396965, 0.00025100004859268665, 0.00030437507666647434, 0.0003625419922173023, 0.0004146250430494547]",1.267442741078471,1.255511540935283,0.5007026727559433,0.03514743475038487,0.09038663225871121,True,14.0,14.0
8,36,200,True,converged,10.99446558393538,13,"[0, 3, 1, 5, 1, 1, 1, 1]","[0.019202709081582725, 0.34687787503935397, 0.06449241610243917, 10.077670915983617, 0.09403374989051372, 0.10966866707894951, 0.12528904201462865, 0.14104579202830791]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9028250608969591,0.5000000388545387,True,converged,0.06208554201293737,3,"[0, 1, 0, 2, 0, 0, 0, 0]","[1.2165983207523823e-05, 0.0006084580672904849, 0.00016866694204509258, 0.002185540972277522, 0.00035562494304031134, 0.0003797499230131507, 0.00045599997974932194, 0.0004697920521721244]",0.9115015282049931,0.9029196961766769,0.5000035531470767,0.032549083752437605,0.07375256628548828,True,14.0,14.0
8,37,200,True,converged,1.0834179170196876,10,"[0, 2, 2, 1, 2, 1, 1, 1]","[0.01898620801512152, 0.1418978750007227, 0.17822000000160187, 0.07978850009385496, 0.2803113750414923, 0.1101022920338437, 0.12236541707534343, 0.13833862508181483]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",2.073306843417042,0.5000000000000004,True,converged,0.06211141694802791,3,"[0, 1, 1, 0, 1, 0, 0, 0]","[1.0834075510501862e-05, 0.0005895830690860748, 0.0007230410119518638, 0.00026362494099885225, 0.0010779589647427201, 0.00038037507329136133, 0.00045175000559538603, 0.0005047499435022473]",2.0930996909613406,2.073299476963992,0.5000009294393412,0.04574992752719471,0.10028161758416555,True,18.0,18.0
8,38,200,True,converged,0.6962826669914648,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[0.018430916941724718, 0.04803475004155189, 0.06455129093956202, 0.07903187500778586, 0.0954462920781225, 0.10961091599892825, 0.12590545893181115, 0.1411327919922769]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.9507306822193877,0.8596218178674556,True,converged,0.059152709087356925,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[1.2333039194345474e-05, 0.00013316597323864698, 0.00015504099428653717, 0.00017779204063117504, 0.00021674996241927147, 0.0002687079831957817, 0.0003143749199807644, 0.0003680840600281954]",1.9693519148443595,1.9506858231306086,0.8579823212478538,0.044144972068377045,0.0910646644792208,True,19.0,19.0
8,39,200,True,converged,0.7168558749835938,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[0.018707417068071663, 0.04805304203182459, 0.06376375001855195, 0.07910412503406405, 0.09353616693988442, 0.1099199999589473, 0.12636416708119214, 0.16305695904884487]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9048433941813574,0.7154176460292863,True,converged,0.062201582943089306,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[1.9000028260052204e-05, 0.00016125000547617674, 0.00012949993833899498, 0.00015279196668416262, 0.0002174580004066229, 0.000274666934274137, 0.00030479091219604015, 0.00034454104024916887]",0.9134808239843535,0.9048225863627692,0.7157876507030422,0.03006556011157701,0.07770647622685826,True,9.0,9.0
8,40,200,True,converged,0.7050844159675762,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[0.02143291593529284, 0.050185541971586645, 0.06414549995679408, 0.07703874993603677, 0.0939354170113802, 0.10821558395400643, 0.1276967499870807, 0.14428633300121874]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.2764239499356256,0.8592690006733333,True,converged,0.060308167012408376,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[1.7291982658207417e-05, 0.00014191691298037767, 0.00013641698751598597, 0.00017145799938589334, 0.00022954109590500593, 0.0002732500433921814, 0.0003255420597270131, 0.00036399997770786285]",1.2886084034414238,1.276394597234193,0.8582968337083055,0.03570919510086147,0.08322914844375452,True,16.0,16.0
8,41,200,True,converged,0.6917217499576509,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[0.019462333992123604, 0.04854895907919854, 0.06486308295279741, 0.07992416596971452, 0.0949796250788495, 0.10627999994903803, 0.12377370800822973, 0.1368051249301061]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9367973005123889,0.5796985200734169,True,converged,0.06050379201769829,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[2.0042061805725098e-05, 0.00015666603576391935, 0.00013541604857891798, 0.00017091690097004175, 0.00022362498566508293, 0.00024937500711530447, 0.00030387495644390583, 0.0003547499654814601]",0.9457397550573904,0.9367757578803613,0.5843301349242663,0.030591826268396353,0.08659824511890436,True,17.0,17.0
8,42,200,True,converged,1.081826249952428,12,"[0, 5, 2, 1, 1, 1, 1, 1]","[0.01899474998936057, 0.33321604190859944, 0.17363733297679573, 0.07911183394026011, 0.09252320788800716, 0.10625541699118912, 0.12199258303735405, 0.14202766702510417]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.5729715734330127,0.5,True,converged,0.06269658298697323,2,"[0, 1, 1, 0, 0, 0, 0, 0]","[1.4999997802078724e-05, 0.0006042090244591236, 0.0006812920328229666, 0.00025391695089638233, 0.00029312504921108484, 0.0003612920409068465, 0.00039304199162870646, 0.00046958308666944504]",1.5880603943617353,1.5729557088227555,0.5005183190499736,0.039643717282450176,0.09455003106063115,True,14.0,14.0
8,43,200,True,converged,0.775440291967243,8,"[0, 2, 1, 1, 1, 1, 1, 1]","[0.02015070803463459, 0.12571975006721914, 0.06469770893454552, 0.07932174997404218, 0.10539504198823124, 0.10473383299540728, 0.12362687499262393, 0.13595641602296382]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.7647751214132705,0.49999999999999994,True,converged,0.06541475001722574,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.808407250791788e-05, 0.000635207979939878, 0.00022445793729275465, 0.00028270797338336706, 0.0003584160003811121, 0.00046145799569785595, 0.00047508394345641136, 0.0005551669746637344]",1.7816411405920727,1.7647429924808724,0.5059937669694058,0.04255520619134088,0.10136743510063727,True,16.0,16.0
8,44,200,True,converged,0.7329023750498891,8,"[0, 2, 1, 1, 1, 1, 1, 1]","[0.01927641697693616, 0.08459599991329014, 0.06352320895530283, 0.07904995803255588, 0.09482629201374948, 0.111575165996328, 0.12366979196667671, 0.13964095793198794]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.5681665750940651,0.49961424389884945,True,converged,0.06500870792660862,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.3582990504801273e-05, 0.000632000039331615, 0.000220458023250103, 0.00027291697915643454, 0.0003409580094739795, 0.00042287493124604225, 0.00044362503103911877, 0.0005119170527905226]",0.5735898989900583,0.568154193485031,0.5001051217286911,0.023806591292365474,0.06257946044755368,True,8.0,8.0
8,45,200,True,converged,0.8109133749967441,9,"[0, 3, 1, 1, 1, 1, 1, 1]","[0.018572666915133595, 0.16113337490241975, 0.06498270796146244, 0.0803285000147298, 0.09589162503834814, 0.11026374995708466, 0.12720049999188632, 0.13965791696682572]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.876249442488843,0.5000000425689961,True,converged,0.06462154199834913,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.3125012628734112e-05, 0.0006012080702930689, 0.00017212505917996168, 0.00022504106163978577, 0.000264541944488883, 0.00031949998810887337, 0.0003624999662861228, 0.0004024580121040344]",0.8846812821766965,0.8762937542701995,0.500009860023013,0.029585246215320493,0.07191422135743224,True,18.0,18.0
8,46,200,True,converged,3.6619429999263957,12,"[0, 4, 3, 1, 1, 1, 1, 1]","[0.01845570805016905, 2.613255374948494, 0.46852495800703764, 0.07746391696855426, 0.09375950007233769, 0.10975241707637906, 0.12534716702066362, 0.14084670902229846]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.4666834392811388,0.5000177734771711,True,converged,0.06253899994771928,2,"[0, 1, 1, 0, 0, 0, 0, 0]","[1.4374963939189911e-05, 0.000673208967782557, 0.0006967080989852548, 0.00025275000371038914, 0.00032341701444238424, 0.00037566700484603643, 0.0003993749851360917, 0.000446291989646852]",1.4812966537952168,1.4667800897616758,0.5001386756390033,0.04081998962852377,0.07600152057577482,True,17.0,17.0
8,47,200,True,converged,0.9495301250135526,9,"[0, 2, 1, 2, 1, 1, 1, 1]","[0.019323332933709025, 0.15086116606835276, 0.06212437502108514, 0.22734137496445328, 0.09545587503816932, 0.11066616699099541, 0.12599766708444804, 0.14060537505429238]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.8392922058439121,0.4995269954774371,True,converged,0.06459658301901072,2,"[0, 1, 0, 1, 0, 0, 0, 0]","[1.579208765178919e-05, 0.0006258339853957295, 0.00016112509183585644, 0.0008937499951571226, 0.0003047500504180789, 0.000360167003236711, 0.00040258397348225117, 0.0004373750416561961]",0.8472782862657323,0.8392781114615719,0.5000757674750683,0.02866553837031391,0.0561966228916674,True,16.0,16.0
8,48,200,True,converged,0.8482927500735968,8,"[0, 2, 1, 1, 1, 1, 1, 1]","[0.019033791963011026, 0.20594891696237028, 0.0641075000166893, 0.0771676660515368, 0.09323979099281132, 0.10811825003474951, 0.1259604999795556, 0.1409397500101477]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9508736240020479,0.49957789978327405,True,converged,0.06093941594008356,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.6832957044243813e-05, 0.0006211670115590096, 0.0002514580264687538, 0.00023195892572402954, 0.00027004105504602194, 0.0003071250393986702, 0.00036820804234594107, 0.0003687500720843673]",0.9599636496525599,0.950867547795489,0.5001251140888119,0.03153657552573021,0.07923905709056744,True,13.0,13.0
8,49,200,True,converged,0.8390721670584753,9,"[0, 3, 1, 1, 1, 1, 1, 1]","[0.019285124959424138, 0.19335987500380725, 0.06334875000175089, 0.07861979200970381, 0.09152000001631677, 0.10953725001309067, 0.12551045801956207, 0.14232724998146296]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.3622769770737981,0.5000080538027543,True,converged,0.06324304197914898,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1.1541997082531452e-05, 0.0006457499694079161, 0.00017150002531707287, 0.00021254201419651508, 0.000250832992605865, 0.0003179999766871333, 0.00035558303352445364, 0.0004117919597774744]",1.3758064928174176,1.3623187735260713,0.500744210551122,0.0369159990440271,0.0818274259042107,True,17.0,17.0
10,0,200,True,converged,2.3072560420259833,12,"[0, 3, 1, 2, 1, 1, 1, 1, 1, 1]","[0.01924766693264246, 1.1035807080334052, 0.06406525010243058, 0.29707529197912663, 0.0982990829506889, 0.11459229094907641, 0.12526958296075463, 0.13976079097483307, 0.156384207890369, 0.166530332993716]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",2.100632103409454,0.49955820333189177,True,converged,0.08202520792838186,2,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1.1375057511031628e-05, 0.0006142080528661609, 0.0001663339789956808, 0.0008425000123679638, 0.00031433405820280313, 0.00035216694232076406, 0.0004018329782411456, 0.00046558293979614973, 0.0004973340546712279, 0.0005177079001441598]",2.1207346469521995,2.100642982751893,0.5000520012969966,0.046829896524316766,0.10082930588705652,True,24.0,24.0
10,1,200,True,converged,1.0818580420454964,10,"[0, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[0.01855687506031245, 0.11640587507281452, 0.06490829191170633, 0.07900016603525728, 0.09485704102553427, 0.10869983304291964, 0.12419829203281552, 0.14154170802794397, 0.14814920898061246, 0.16487766697537154]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.0746290786960424,0.5000287205828824,True,converged,0.08179883391130716,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.4290912076830864e-05, 0.0006059169536456466, 0.00017491693142801523, 0.00022625003475695848, 0.0002497918903827667, 0.0003235840704292059, 0.000366249936632812, 0.0004165420541539788, 0.00041862495709210634, 0.00046716700308024883]",1.0848968104679173,1.074605866929958,0.5032999326482309,0.03431580262722079,0.07413067634243004,True,13.0,13.0
10,2,200,True,converged,1.6849093749187887,13,"[0, 3, 1, 1, 3, 1, 1, 1, 1, 1]","[0.018943666946142912, 0.31622425001114607, 0.06467116600833833, 0.07894887495785952, 0.48457683296874166, 0.10990616690833122, 0.12502887495793402, 0.14174012502189726, 0.1566114170709625, 0.1669912920333445]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9157257934932572,0.500000655395884,True,converged,0.08123649994377047,2,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[1.1874944902956486e-05, 0.0006394169759005308, 0.00016766705084592104, 0.00021037505939602852, 0.0010181249817833304, 0.0003457920392975211, 0.00039566599298268557, 0.0004710840294137597, 0.0005139169516041875, 0.0005545419408008456]",0.9246821421662342,0.9157231642429309,0.5004789436847346,0.032929796282304066,0.08577409886879231,True,25.0,25.0
10,3,200,False,rank_osqp_failed,5.132814500015229,15,"[0, 0, 3, 3, 1, 3, 1, 2, 1, 1]","[0.01852766703814268, 2.542085957946256, 0.543155207997188, 0.4509575410047546, 0.09638604091014713, 0.5910711670294404, 0.12677829200401902, 0.4296835829736665, 0.1486252499744296, 0.16444854100700468]","[""converged"", ""osqp_failed"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.4732679191758542,0.02872508559168249,True,converged,0.08541237493045628,5,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 0]","[2.225011121481657e-05, 0.0006209590937942266, 0.0007452080026268959, 0.0009583330247551203, 0.0003439580323174596, 0.0012879169080406427, 0.00046845804899930954, 0.0017758330795913935, 0.0006829589838162065, 0.0007192910416051745]",1.4930207639766517,1.4788368011520372,0.5002247551451714,,,,,
10,4,200,True,converged,1.3899596669944003,12,"[0, 3, 2, 1, 1, 1, 1, 1, 1, 1]","[0.019083624938502908, 0.330143874976784, 0.15282525005750358, 0.07802779192570597, 0.09072229103185236, 0.10805766703560948, 0.12373904208652675, 0.14453112508635968, 0.152050125063397, 0.17009549995418638]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.816879167787285,0.5000000000000047,True,converged,0.08171658404171467,2,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1.8625054508447647e-05, 0.0006497920257970691, 0.0007116249762475491, 0.00026841601356863976, 0.0002900419058278203, 0.0003617090405896306, 0.0004154579946771264, 0.00045587506610900164, 0.0005031669279560447, 0.0005264170467853546]",1.834313511128762,1.8169497367847955,0.5005758937773465,0.044278691758482494,0.10096593281363947,True,26.0,26.0
10,5,200,True,converged,3.8472909999545664,12,"[0, 4, 1, 1, 1, 1, 1, 1, 1, 1]","[0.019192834035493433, 2.874479625024833, 0.06466145906597376, 0.07884791598189622, 0.0908833749126643, 0.10853204200975597, 0.12237737502437085, 0.1385171669535339, 0.15689137496519834, 0.17183100001420826]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.1935772111623815,0.5000000616058508,True,converged,0.08064154093153775,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2.058397512882948e-05, 0.0006068340735509992, 0.0001854579895734787, 0.000213540974073112, 0.0002780830254778266, 0.000327165937051177, 0.00037479191087186337, 0.0004128339933231473, 0.000484999967738986, 0.000496292021125555]",1.2050508610924398,1.1935597082120726,0.5001609555602159,0.03739513118841954,0.09622693486607212,True,16.0,16.0
10,6,200,True,converged,1.0293482089182362,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.019295041100122035, 0.048147084075026214, 0.06309241708368063, 0.07750295905862004, 0.09629962500184774, 0.10909495910163969, 0.12346066592726856, 0.14247020799666643, 0.15678454202134162, 0.1723332080291584]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.5218706535675426,0.5637906236750947,True,converged,0.07854970905464143,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.095801755785942e-05, 0.00015604204963892698, 0.00013987510465085506, 0.00017366709653288126, 0.00021612504497170448, 0.00026037509087473154, 0.00031050003599375486, 0.00033929094206541777, 0.000407584011554718, 0.0004705000901594758]",1.536398085633642,1.521835656562891,0.5630132846906276,0.041228635671770555,0.09247648069621077,True,17.0,17.0
10,7,200,True,converged,1.4359480000566691,12,"[0, 3, 2, 1, 1, 1, 1, 1, 1, 1]","[0.01853333308827132, 0.17243387491907924, 0.3516498750541359, 0.07933695800602436, 0.09351741697173566, 0.11014862498268485, 0.12552024994511157, 0.13877041707746685, 0.15470504201948643, 0.16945083404425532]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.5451637961853761,0.500023111119239,True,converged,0.08337474998552352,2,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1.7541926354169846e-05, 0.0006114169955253601, 0.0007375000277534127, 0.0002603749744594097, 0.00030833296477794647, 0.0003572080750018358, 0.0003989168908447027, 0.0005008750595152378, 0.0004917499609291553, 0.000573459081351757]",1.5598835359178862,1.545154408083624,0.5000970134186726,0.03997848459387931,0.11003319231759805,True,21.0,21.0
10,8,200,True,converged,1.221549000008963,11,"[0, 3, 1, 1, 1, 1, 1, 1, 1, 1]","[0.019247040967456996, 0.2452509170398116, 0.0645231669768691, 0.07878954196348786, 0.0912332080770284, 0.10578466602601111, 0.12362337508238852, 0.14025904098525643, 0.1562708750134334, 0.1753956670872867]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.4631970966202612,0.5000006849638735,True,converged,0.08110049995593727,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2.0915991626679897e-05, 0.0006437080446630716, 0.00018945802003145218, 0.00020191597286611795, 0.0002702500205487013, 0.00028675002977252007, 0.00032504100818187, 0.00043112505227327347, 0.0004908749833703041, 0.0005193750839680433]",1.4774385136959407,1.4632525893752004,0.5005421363969758,0.039751167988764935,0.09488320130072501,True,19.0,19.0
10,9,200,False,rank_osqp_failed,6.443371374974959,13,"[0, 3, 3, 1, 0, 2, 1, 1, 1, 1]","[0.019210792030207813, 0.1959509999724105, 0.9211789999390021, 0.07895333401393145, 4.268307666992769, 0.3568073339993134, 0.12582283304072917, 0.14021216705441475, 0.1487795829307288, 0.16624854202382267]","[""converged"", ""converged"", ""converged"", ""converged"", ""osqp_failed"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.9583222687818203,0.08363616999428927,True,converged,0.08453837502747774,4,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1.9541941583156586e-05, 0.0006335839862003922, 0.000759249902330339, 0.00026179105043411255, 0.0010973330354318023, 0.001324875047430396, 0.0005009999731555581, 0.0005347909172996879, 0.0005835409974679351, 0.0006187499966472387]",1.9812481870225531,1.9629066704653846,0.5000260239144533,,,,,
10,10,200,True,converged,2.1142812080215663,13,"[0, 3, 1, 2, 2, 1, 1, 1, 1, 1]","[0.019097667071036994, 0.705180749995634, 0.06238808296620846, 0.3478166250279173, 0.26973587495740503, 0.11016087501775473, 0.11991308303549886, 0.13440575008280575, 0.15294558403547853, 0.17093775002285838]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.241706967537078,0.4999999999999979,True,converged,0.08288504194933921,3,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[1.929106656461954e-05, 0.0006287080468609929, 0.00017858296632766724, 0.0008740830235183239, 0.0011685839854180813, 0.00039725005626678467, 0.00043162505608052015, 0.0004926669644191861, 0.0005347089609131217, 0.0006659580394625664]",1.2535585762200823,1.2417017204252763,0.5001967157277486,0.0373402585686116,0.09046860562833034,True,12.0,12.0
10,11,200,True,converged,1.0206691670464352,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.019020124920643866, 0.048765999963507056, 0.06450195901561528, 0.0791390840895474, 0.09293737506959587, 0.10732287506107241, 0.11949783307500184, 0.13799966592341661, 0.15724337508436292, 0.17306766600813717]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.3182639872833048,0.9904593001117736,True,converged,0.08338154200464487,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.8000020645558834e-05, 0.00014883396215736866, 0.00012570898979902267, 0.00017775001469999552, 0.0002090830821543932, 0.00028595805633813143, 0.0003269580192863941, 0.0003576249582692981, 0.00039683294016867876, 0.0004416659940034151]",1.3308478362954077,1.3182336724265287,0.9901644099462432,0.03837172172052905,0.0991653743300616,True,20.0,20.0
