N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_min_dist,position_rmse,max_position_deviation
4,22,100,True,converged,0.005330085754394531,0.0,1.026449531266361,1.3183324799834315,0.0,True,converged,0.0003131250850856304,0.0,0.0,1.0468696401349078,1.3155304741862677,0.04608341261842153,0.10163037676783958
4,23,100,True,converged,0.025470972061157227,2.0,1.11435170172517,0.49999999999999983,0.0,True,converged,0.0015245829708874226,1.0,1.0,1.13651511667302,0.5000110877145078,0.04823247145532345,0.0996333674146089
4,24,100,True,converged,0.005287885665893555,0.0,1.1435347970660246,1.996583135399724,0.0,True,converged,0.000303708016872406,0.0,0.0,1.1662841913029243,1.9965831353997177,0.04864077929195935,0.08588640390864859
4,25,100,True,converged,0.005451202392578125,0.0,0.7274992256989625,2.1820941664087146,0.0,True,converged,0.00042266608215868473,0.0,0.0,0.7419720399368218,2.1801672041987548,0.038796459980704294,0.08706679505552849
4,26,100,True,converged,0.1173098087310791,3.0,1.1228253620535227,0.5000039500552316,0.0,True,converged,0.0016527919797226787,1.0,1.0,1.1453506034419276,0.5000049084482214,0.047445121365894495,0.09849616435576285
4,27,100,True,converged,0.09356999397277832,2.0,1.363374948988826,0.4999999999999996,0.0,True,converged,0.0016145830741152167,1.0,1.0,1.3904960756209,0.5000000426442159,0.053147470836866675,0.11214504823551984
4,28,100,True,converged,0.005309343338012695,0.0,0.5750806751880205,0.815322201916136,0.0,True,converged,0.0003208339912816882,0.0,0.0,0.5865212863801251,0.81465718368471,0.034493734723023375,0.07266136001744221
4,29,100,True,converged,0.005242109298706055,0.0,0.6502751441405941,3.432261667902983,0.0,True,converged,0.0003161670174449682,0.0,0.0,0.6632116683762067,3.4320245012784434,0.036679584642136887,0.08215477769128861
4,30,100,True,converged,0.005273103713989258,0.0,0.7248417909453814,0.713296213058725,0.0,True,converged,0.0003292909823358059,0.0,0.0,0.7392617383784675,0.7113649428741118,0.03872553661697777,0.09107771142957359
4,31,100,True,converged,0.05142498016357422,2.0,0.8701351346802174,0.4999999999999993,0.0,True,converged,0.001602708944119513,1.0,1.0,0.8874429426111654,0.5000018065248933,0.04289928186994644,0.08869172531854684
