N,seed,K,prio_scp_success,prio_scp_reason,prio_scp_time,prio_scp_iterations_total,prio_scp_iterations_per_rank,prio_scp_time_per_rank,prio_scp_rank_reasons,prio_scp_cost,prio_scp_min_dist,prio_sci_success,prio_sci_reason,prio_sci_time,prio_sci_contacts,prio_sci_contacts_per_rank,prio_sci_time_per_rank,prio_sci_cost,prio_sci_cost_continuous,prio_sci_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_prio_scp,n_crossings_prio_sci
10,0,200,True,converged,2.1911572919925675,12,"[0, 3, 1, 2, 1, 1, 1, 1, 1, 1]","[0.017655208008363843, 1.0321086670155637, 0.0644805830088444, 0.2922680000192486, 0.08920454198960215, 0.10428954201051965, 0.11882116697961465, 0.13208137499168515, 0.14950933400541544, 0.17103733302792534]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",2.100632103409454,0.49955820333189177,True,converged,0.11867075000191107,2,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1.7417012713849545e-05, 0.0028038329910486937, 0.001641165988985449, 0.005966374999843538, 0.00331970804836601, 0.004225209006108344, 0.005024457990657538, 0.005870166991371661, 0.00669250002829358, 0.0076424170401878655]",2.276371943736662,2.2552233343745294,0.5000718568041448,0.5841085155149399,2.917330461640585,True,24.0,24.0
10,1,200,True,converged,1.0312625409569591,10,"[0, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[0.01751029200386256, 0.11073508398840204, 0.060105665994342417, 0.0738462500157766, 0.08811966597568244, 0.10225329204695299, 0.11714458395726979, 0.13115533295786008, 0.1459524169913493, 0.16005358303664252]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.0746290786960424,0.5000287205828824,True,converged,0.1184959999518469,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.8874998204410076e-05, 0.0038174589863047004, 0.001937875000294298, 0.002549541008193046, 0.0033213329734280705, 0.0042689169640652835, 0.005107083008624613, 0.005967083037830889, 0.00687679200200364, 0.007748542004264891]",1.1050202511837717,1.0943368667908684,0.5042266121690537,0.1983166315677122,1.0330381539596716,True,13.0,13.0
10,2,200,True,converged,1.6243561250157654,13,"[0, 3, 1, 1, 3, 1, 1, 1, 1, 1]","[0.017543083988130093, 0.2992789589916356, 0.06140808400232345, 0.07715987501433119, 0.47089362499536946, 0.10549899999750778, 0.12770049995742738, 0.13469837501179427, 0.1478753329720348, 0.16171754099195823]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",0.9157257934932572,0.500000655395884,True,converged,0.11953558400273323,2,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[1.6958045307546854e-05, 0.0023849999997764826, 0.0016110410215333104, 0.0024026670143939555, 0.007141041976865381, 0.004293749982025474, 0.0050996249774470925, 0.005833083007019013, 0.00673529104096815, 0.007672999985516071]",1.5797910179891876,1.570372219530349,0.5006287444861027,0.36138476496830746,1.794156542632199,True,25.0,25.0
10,3,200,False,rank_osqp_failed,4.807151959044859,15,"[0, 0, 3, 3, 1, 3, 1, 2, 1, 1]","[0.018115124956239015, 2.37761500000488, 0.5070864579756744, 0.4204031669651158, 0.08870525000384077, 0.5560605830396526, 0.11634924996178597, 0.3998877920093946, 0.14549991698004305, 0.1574654580326751]","[""converged"", ""osqp_failed"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.4732679191758542,0.02872508559168249,True,converged,0.1588162500411272,8,"[0, 1, 1, 2, 0, 1, 0, 1, 2, 0]","[1.9584025721997023e-05, 0.0034475839929655194, 0.0037714579957537353, 0.012235916976351291, 0.0034465829958207905, 0.009699417045339942, 0.005144666007254273, 0.012560749950353056, 0.02320566598791629, 0.0077415829873643816]",1.837977741635028,1.82049136342731,0.500002446877505,,,,,
10,4,200,True,converged,1.3072762080118991,12,"[0, 3, 2, 1, 1, 1, 1, 1, 1, 1]","[0.018102666013874114, 0.3049005839857273, 0.14299945801030844, 0.07465204101754352, 0.08907404099591076, 0.10284437495283782, 0.11764900002162904, 0.13210250000702217, 0.14206641697091982, 0.1608894580276683]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.816879167787285,0.5000000000000047,True,converged,0.14695645798929036,6,"[0, 1, 1, 0, 0, 3, 1, 0, 0, 0]","[1.633301144465804e-05, 0.0027168330270797014, 0.003742167027667165, 0.002636374963913113, 0.0034840420121327043, 0.02436137496260926, 0.010905084025580436, 0.00607975001912564, 0.006856291962321848, 0.007705125026404858]",2.3982983560687776,2.375272600905397,0.5000481452585813,0.7967852484755517,3.821153173309777,False,26.0,26.0
10,5,200,True,converged,3.5588336660293862,12,"[0, 4, 1, 1, 1, 1, 1, 1, 1, 1]","[0.017484917014371604, 2.633749082975555, 0.06097954203141853, 0.07487083302112296, 0.08937195898033679, 0.1042758749681525, 0.11854358296841383, 0.13232379202963784, 0.14662083302391693, 0.16107087495038286]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.1935772111623815,0.5000000616058508,True,converged,0.12032712501240894,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2.054101787507534e-05, 0.0034579579951241612, 0.0017708330415189266, 0.0026560419937595725, 0.0034505000221543014, 0.004316125006880611, 0.005231915973126888, 0.006007666990626603, 0.006922332977410406, 0.0077813329990021884]",1.2249400389773377,1.2133123624594948,0.5000026944883323,0.2147555480904911,1.0763049487266951,True,16.0,16.0
10,6,200,True,converged,0.9741926249698736,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.017891291005071253, 0.04655129200546071, 0.062389333033934236, 0.0762945000315085, 0.08881145901978016, 0.10348241601604968, 0.1181264579645358, 0.13223829097114503, 0.14708441600669175, 0.16197262500645593]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.5218706535675426,0.5637906236750947,True,converged,0.11687050003092736,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.7084006685763597e-05, 0.0008273749845102429, 0.0016532079898752272, 0.0025802080053836107, 0.0034660829696804285, 0.00435916701098904, 0.005167832947336137, 0.0060522499843500555, 0.006915792007930577, 0.007716874999459833]",1.536398085633642,1.521835656562891,0.5630132846906276,0.041228635671770555,0.09247648069621077,True,17.0,17.0
10,7,200,True,converged,1.3975147500168532,12,"[0, 3, 2, 1, 1, 1, 1, 1, 1, 1]","[0.01836762495804578, 0.1690097920363769, 0.34245654195547104, 0.07695333298761398, 0.09171004098607227, 0.10597999999299645, 0.12133400002494454, 0.13594487501541153, 0.150021958979778, 0.16622499999357387]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.5451637961853761,0.500023111119239,True,converged,0.12370275001740083,4,"[0, 1, 1, 2, 0, 0, 0, 0, 0, 0]","[1.8457998521625996e-05, 0.0021626659436151385, 0.004243374976795167, 0.011082249984610826, 0.0033384579583071172, 0.004241583053953946, 0.005055707995779812, 0.005970542028080672, 0.006752957997377962, 0.007527458015829325]",3.5940017564935207,3.5502971625302333,0.5005190024630393,0.792302380121517,3.744663810996525,False,21.0,21.0
10,8,200,True,converged,1.1903359579737298,11,"[0, 3, 1, 1, 1, 1, 1, 1, 1, 1]","[0.01817591697908938, 0.23644716601120308, 0.062483708024956286, 0.0767336250282824, 0.09126662503695115, 0.10733020800398663, 0.1235795840038918, 0.13561275001848117, 0.14892354200128466, 0.1662697499850765]","[""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.4631970966202612,0.5000006849638735,True,converged,0.11210279102670029,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.4959019608795643e-05, 0.0023239169968292117, 0.001687041949480772, 0.0025231660110875964, 0.003332542022690177, 0.004197375033982098, 0.004967792017851025, 0.005852125003002584, 0.006652042036876082, 0.007407333003357053]",2.056679300176226,2.0382944611137646,0.5018909387120284,1.112856814455048,5.765917652747171,False,19.0,19.0
10,9,200,False,rank_osqp_failed,5.942888582998421,13,"[0, 3, 3, 1, 0, 2, 1, 1, 1, 1]","[0.017918207973707467, 0.18647608399624005, 0.8482820829958655, 0.07466074998956174, 3.901718749955762, 0.33687950001331046, 0.11768345901509747, 0.13218908302951604, 0.1467414579819888, 0.1602747089928016]","[""converged"", ""converged"", ""converged"", ""converged"", ""osqp_failed"", ""converged"", ""converged"", ""converged"", ""converged"", ""converged""]",1.9583222687818203,0.08363616999428927,True,converged,0.13392829202348366,5,"[0, 1, 1, 0, 0, 1, 2, 0, 0, 0]","[1.575000351294875e-05, 0.0024891250068321824, 0.004887541988864541, 0.002493417006917298, 0.0034774579689837992, 0.008935083984397352, 0.01788612501695752, 0.0059867919771932065, 0.006767000013496727, 0.007582749996799976]",2.2674932435134827,2.2456365126778297,0.5000074583339064,,,,,
