N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact,scp_error
16,15,200,True,converged,34.24385619163513,4.0,1.4630018258951532,0.5000000030067481,0.0,True,converged,2.220317958999658,8,1,1.4631096712095686,1.4630392718056604,0.5000411568683416,0.0060173765590920076,0.018724932998099676,True,52.0,52.0,
16,16,200,True,converged,31.809463024139404,4.0,1.7541301737253974,0.5000000057536164,0.0,True,converged,0.11074008399737068,4,1,1.7542400393280462,1.7541549993403938,0.500004061781718,0.0020563394060003296,0.007874122083505034,True,61.0,61.0,
16,17,200,True,converged,30.323357105255127,5.0,1.140595690514905,0.5000000000000001,0.0,True,converged,0.12341558397747576,4,1,1.1406383569482783,1.1405834199989067,0.5000554883461578,0.0051889988213746074,0.023817729891415222,True,44.0,44.0,
16,18,200,True,converged,68.8389151096344,4.0,1.8178198232764928,0.5000000000000295,0.0,True,converged,0.04587758399429731,2,1,1.8178773649462474,1.8177889429044412,0.5000107211990553,0.0033758548469176443,0.012712501883913886,True,44.0,44.0,
16,19,200,True,converged,72.26826190948486,6.0,2.1516358257327806,0.49999999999999967,0.0,True,converged,0.956686958001228,6,1,2.1519079205074805,2.1518030514954734,0.5000141607548887,0.011386169776780915,0.04365151044246446,True,78.0,78.0,
16,20,200,True,converged,88.52052688598633,4.0,1.278452382778337,0.4999999999999984,0.0,True,converged,0.29384708299767226,4,1,1.2787765498065777,1.2786987201351436,0.5000228729643311,0.01812912000929187,0.0922562942964299,True,52.0,52.0,
16,21,200,True,converged,135.67692804336548,5.0,1.6013167725119282,0.49999999999999944,0.0,True,converged,0.1157370830187574,4,1,1.6013739540846792,1.6012938574220374,0.5000324489112749,0.003624880297481014,0.013572911084134899,True,60.0,60.0,
16,22,200,True,converged,17.048814058303833,3.0,1.9473923202246561,0.5000000000007628,0.0,True,converged,0.12119741601054557,4,1,1.9474774846136176,1.9473840092728019,0.5013634573478154,0.003948826261474772,0.019110754633796228,True,62.0,62.0,
16,23,200,True,converged,67.1461250782013,4.0,1.5108613913564213,0.5,0.0,True,converged,0.07497820901335217,3,1,1.5109129549923646,1.5108393204638837,0.5001041440039379,0.003912524536058299,0.018888589530098386,True,60.0,60.0,
16,24,200,True,converged,118.50149774551392,4.0,1.752377095004128,0.5000000000000014,0.0,True,converged,0.3357834170165006,6,1,1.7524667281864768,1.7523734168275567,0.5000174224680883,0.00725623406221634,0.027298857431998183,True,64.0,64.0,
16,25,200,True,converged,25.676203966140747,4.0,2.491689638938985,0.49999999999999994,0.0,True,converged,0.04529258399270475,2,1,2.4917775255843475,2.4916578171843975,0.500952348952395,0.007300906376417071,0.03301268494514265,True,65.0,65.0,
16,26,200,True,converged,37.341963052749634,4.0,2.2479086224880254,0.5000000000001407,0.0,True,converged,0.13958891600486822,4,1,2.2480266003894402,2.2479184545379205,0.5000097998521486,0.004194075157616187,0.017436341883209954,True,57.0,57.0,
16,27,200,True,converged,25.4979567527771,3.0,1.7968165465847215,0.5000000794030572,0.0,True,converged,0.06177170801674947,2,1,1.7968902456481044,1.7968037381269084,0.5003757207560817,0.0036052346185711658,0.012153663392384167,True,66.0,66.0,
16,28,200,True,converged,14.876629114151001,3.0,1.2268004600829283,0.49999999999999933,0.0,True,converged,0.0805218750028871,3,1,1.2268341799974416,1.2267751327741312,0.5001059595635551,0.0010147096782066418,0.004624441288989218,True,56.0,56.0,
16,29,200,True,converged,40.145654916763306,4.0,1.4394810673589395,0.4999999999999988,0.0,True,converged,0.4193631249945611,6,1,1.4395800967479297,1.4395105578805494,0.5004224022229522,0.004039658636625304,0.013162889803513312,True,49.0,49.0,
16,30,200,True,converged,51.63311696052551,5.0,1.6594368210290151,0.5000000000153463,0.0,True,converged,0.1826954999996815,4,1,1.659498835913537,1.659418946463238,0.500075926860715,0.006673174568827897,0.029554374407221706,True,60.0,60.0,
16,31,200,True,converged,26.202919006347656,3.0,1.5586278544103567,0.5001251586044971,0.0,True,converged,0.04474749998189509,2,1,1.5586698182468344,1.5585938732963738,0.500008352060046,0.004777469046257026,0.016047168471257808,True,56.0,56.0,
16,32,200,True,converged,33.45464825630188,4.0,1.4749158094767494,0.5000000000209349,0.0,True,converged,0.24994358301046304,5,1,1.4749865399438111,1.4749156678900404,0.5000656023796575,0.005783776075508989,0.019815652315860566,True,53.0,53.0,
16,33,200,True,converged,58.2770619392395,5.0,1.5763938513374272,0.5000000000000165,0.0,True,converged,1.8550448750029318,8,1,1.5765032412814162,1.5764262474741384,0.5000173237631663,0.010099384736098978,0.04689263474745057,True,66.0,66.0,
16,34,200,True,converged,13.720455169677734,3.0,1.3808017300225117,0.5000000000000007,0.0,True,converged,0.07921658299164847,3,1,1.3808505821360146,1.380784175863259,0.5000005364755125,0.0024377821721903448,0.011239289612308776,True,36.0,36.0,
16,35,200,True,converged,8.0316801071167,2.0,1.4630755259637225,0.5001271483205043,0.0,True,converged,0.021860500011825934,1,1,1.4631183600471038,1.4630481332083927,0.5019839493912034,0.0027224091931605378,0.012587121376081109,True,58.0,58.0,
16,36,200,True,converged,48.17616820335388,3.0,1.7743706038133793,0.500000000477415,0.0,True,converged,0.8333066659979522,8,1,1.7745085904109554,1.7744228660457895,0.5000975195108701,0.00836214474251064,0.028181183625129513,True,54.0,54.0,
16,37,200,True,converged,20.869631052017212,3.0,2.076190021120448,0.5000235158547206,0.0,True,converged,0.021431875007692724,1,1,2.076241899539881,2.076142225005345,0.5000185063889891,4.832167251360355e-05,0.00019807379241614667,True,65.0,65.0,
16,38,200,True,converged,34.55483603477478,5.0,2.1323476731017803,0.49999999999999967,0.0,True,converged,0.19466933398507535,5,1,2.13260498204119,2.132502535864922,0.5003240285052394,0.008693511520605695,0.030546796658340702,True,67.0,67.0,
16,39,200,True,converged,0.04574298858642578,0.0,1.9536520281345708,0.6989026226861632,0.0,True,converged,0.006493916007457301,0,0,1.9537008669932094,1.9536071018663916,0.6989017109928641,2.61773855448947e-05,5.9979815958419554e-05,True,61.0,61.0,
16,40,200,True,converged,49.96327090263367,4.0,1.6303891544000677,0.49999999999999983,0.0,True,converged,0.3063599589804653,6,1,1.6304987224983838,1.6304200634232726,0.5000140569293153,0.004414854465320921,0.018575274766785964,True,59.0,59.0,
16,41,200,True,converged,44.982362031936646,5.0,1.72206432744175,0.5000000001264778,0.0,True,converged,0.17546279201633297,5,1,1.7218853936402563,1.7218020705947517,0.5000193777268912,0.11352043945603642,0.5457817873446004,False,59.0,59.0,
16,42,200,True,converged,26.58677101135254,4.0,2.0356681742598166,0.5000000097477866,0.0,True,converged,0.08841287498944439,3,1,2.0357662283353006,2.035668327065152,0.5000557502476831,0.007763122535688984,0.0380260812791612,True,62.0,62.0,
16,43,200,True,converged,0.046853065490722656,0.0,1.910504752174727,0.6763392528528955,0.0,True,converged,0.006897000013850629,0,0,1.9105525124054021,1.9104608181232101,0.6763379176157697,2.588670199974665e-05,5.299222211882701e-05,True,57.0,57.0,
16,44,200,True,converged,20.01405692100525,3.0,1.63972159686453,0.49999999999999983,0.0,True,converged,0.13791229200433008,4,1,1.639787488767823,1.6397087594055328,0.5001774040530017,0.002045546950413372,0.006822756857655238,True,56.0,56.0,
16,45,200,True,converged,91.76008725166321,9.0,1.1398393085037501,0.5,0.0,True,converged,5.01576749997912,10,1,1.1400898937225263,1.1400350674819417,0.500059026733626,0.00872913120843645,0.03168619726008639,True,55.0,55.0,
16,46,200,False,infeasible,,,,,,True,converged,2.631593166006496,11,1,2.1698644784008456,2.169759752054501,0.5000000128492541,,,,,,"OSQP failed: status='maximum iterations reached', code=7, iter=10000, prim_res=0.0005364466773407399, dual_res=1.628670530728904e-05"
16,47,200,True,converged,24.95252513885498,4.0,0.7552750774119779,0.4999999999999998,0.0,True,converged,0.18787500000325963,5,1,0.7553050711918821,0.7552686274837634,0.5000750082203358,0.0030727379249912805,0.01406437969595411,True,35.0,35.0,
16,48,200,True,converged,20.693984031677246,3.0,1.806411285567519,0.5000007134840396,0.0,True,converged,0.39797008302411996,4,1,1.807266505376907,1.8072395867644182,0.5000090993811575,0.018505940248291095,0.10031553817862238,True,64.0,64.0,
16,49,200,True,converged,24.376037120819092,3.0,1.7311062884778141,0.4999999999999996,0.0,True,converged,0.18083858300815336,5,1,1.7311857888092566,1.7311022779419574,0.5000008475101481,0.0030057308076189677,0.009324502110737886,True,54.0,54.0,
18,0,200,True,converged,33.28092288970947,3.0,1.8401460961545515,0.4999999999999991,0.0,True,converged,0.24051629099994898,5,1,1.8402791520108217,1.8401904839509198,0.500207487536967,0.004723896601301951,0.021520495520622858,True,78.0,78.0,
18,1,200,True,converged,112.34648299217224,3.0,1.5958263721209134,0.5000000063572233,0.0,True,converged,0.14579562499420717,4,1,1.5959384783896342,1.595860731422123,0.5000849657214037,0.0065723003645615195,0.02670426125989869,True,67.0,67.0,
18,2,200,True,converged,124.89912033081055,5.0,1.9576534035533821,0.4999999999999992,0.0,True,converged,1.933997874992201,9,1,1.9581315181877135,1.9580371755723864,0.5000088620668715,0.010037927992215577,0.031938207674181936,True,94.0,94.0,
18,3,200,True,converged,61.70863699913025,4.0,1.7363331070443746,0.5000000000366844,0.0,True,converged,0.3215818750031758,6,1,1.7364347304774124,1.7363509791333134,0.5000264117391329,0.00556631925587657,0.01675858884296478,True,68.0,68.0,
18,4,200,True,converged,32.03015398979187,4.0,1.3496486124851037,0.5000000000000001,0.0,True,converged,0.21010004199342802,4,1,1.392065701103415,1.3923240364108336,0.500002560457614,0.04342919886545153,0.235632004098947,True,67.0,67.0,
18,5,200,True,converged,38.364038944244385,3.0,1.9488072707788715,0.49999999999999967,0.0,True,converged,0.08296433399664238,3,1,1.9488965586988176,1.948802651964848,0.5000144362180979,0.0015929431065677619,0.006395642036212256,True,80.0,80.0,
18,6,200,False,infeasible,,,,,,True,converged,0.09317591699073091,3,1,1.5554212661129077,1.5553463151919364,0.500002481877918,,,,,,"OSQP failed: status='maximum iterations reached', code=7, iter=10000, prim_res=0.00029008509921379325, dual_res=2.2025110733847608e-07"
18,7,200,True,converged,17.8690128326416,3.0,1.9648295232231954,0.4999999999999994,0.0,True,converged,0.717362833005609,5,1,1.9650056498515338,1.9649113052672535,0.5005788721693034,0.008843409087109969,0.048655121664244017,True,66.0,66.0,
